Author Surname   ,Author Forename     ,Order ,Book Title                                                                  ,Genre                 ,read|tone@example.com ,read|simon@example.com ,rating|tone@example.com ,rating|simon@example.com ,Edition                         ,Co Author
Self             ,Will                ,      ,Little People in the City : The Street Art of Slinkachu                     ,Art                   ,N                     ,Y                      ,                        ,                     7.5 ,Hardback                        ,Slinkachu
Sepetys          ,Ruta                ,      ,Salt to the Sea                                                             ,Historical Fiction    ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Sewell           ,Anna                ,      ,Black Beauty                                                                ,Coming-of-Age Fiction ,N                     ,N                      ,                        ,                         ,Hardback Leatherbound 2nd Hand  ,
Shakespeare      ,William             ,      ,A Midsummer Night's Dream                                                   ,Play                  ,Y                     ,N                      ,                      6 ,                         ,Hardback Leatherbound 2nd Hand  ,
Shakespeare      ,William             ,      ,Much Ado About Nothing                                                      ,Play                  ,Y                     ,N                      ,                      7 ,                         ,Hardback Leatherbound 2nd Hand  ,
Shakespeare      ,William             ,      ,Othello                                                                     ,Play                  ,Y                     ,Y                      ,                      7 ,                     7   ,Paperback Annotated             ,
Shakespeare      ,William             ,      ,Othello : The Arden Shakespeare                                             ,Play                  ,Y                     ,Y                      ,                      7 ,                     7   ,Paperback                       ,
Shakespeare      ,William             ,      ,Othello : York Notes                                                        ,Self Help             ,Y                     ,N                      ,                      4 ,                         ,Paperback                       ,
Shakespeare      ,William             ,      ,Romeo and Juliet                                                            ,Play                  ,Y                     ,N                      ,                      4 ,                         ,Hardback Leatherbound 2nd Hand  ,
Shakespeare      ,William             ,      ,The Tempest                                                                 ,Play                  ,N                     ,N                      ,                        ,                         ,Paperback Oxford Classic        ,
Shamsie          ,Kamila              ,      ,Best of Friends                                                             ,Fiction               ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Sharrocks        ,Wayne               ,      ,Dominion                                                                    ,Psychological Fiction ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Shelley          ,Mary                ,      ,Frankenstein                                                                ,Gothic Fiction        ,Y                     ,N                      ,                      8 ,                         ,Hardback Leatherbound           ,
Shriver          ,Lionel              ,      ,We Need to Talk About Kevin                                                 ,Thriller              ,N                     ,N                      ,                        ,                         ,Paperback Gifted                ,
Silver           ,Marisa              ,      ,Mary Coin                                                                   ,Historical Fiction    ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Slater           ,Nigel               ,      ,The Christmas Chronicles                                                    ,Anthology             ,P                     ,P                      ,                        ,                         ,Hardback Clothbound             ,
Sloan            ,Robin               ,      ,Mr Penumbra's 24-Hour Bookstore                                             ,Fantasy               ,Y                     ,Y                      ,                      7 ,                     6   ,Paperback                       ,
Smallman         ,Steve               ,      ,Santa is Coming to Wakefield                                                ,Children's            ,Y                     ,Y                      ,                        ,                         ,Hardback                        ,Robert Dunn
Smith            ,Carol               ,      ,Twilight Hour                                                               ,Thriller              ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Smith            ,Keri                ,      ,Wreck This Journal                                                          ,Self Help             ,P                     ,N                      ,                        ,                         ,Paperback                       ,
Spooner          ,Meagan              ,      ,Shadowlark                                                                  ,YA Dystopia           ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Steel            ,Danielle            ,      ,Amazing Grace                                                               ,Romance               ,N                     ,N                      ,                        ,                         ,Paperback 2nd Hand              ,
Steel            ,Danielle            ,      ,Johnny Angel                                                                ,Psychological Fiction ,Y                     ,N                      ,                      6 ,                         ,Paperback                       ,
Steel            ,Danielle            ,      ,The Ring                                                                    ,Drama                 ,N                     ,N                      ,                        ,                         ,Paperback                       ,
Stevenson        ,Robert Louis S.     ,      ,Dr Jekyll and Mr. Hyde and Other Tales                                      ,Horror                ,P                     ,N                      ,                        ,                         ,Paperback Oxford Classic        ,
Stewart          ,Paul                ,      ,The Edge Chronicles: Beyond the Deepwoods                                   ,Fantasy               ,N                     ,N                      ,                        ,                         ,Paperback                       ,Chris Riddell
Stoker           ,Bram                ,      ,Dracula                                                                     ,Gothic Fiction        ,N                     ,Y                      ,                        ,                     7   ,Hardback Leatherbound           ,
Stoker           ,Bram                ,      ,Dracula                                                                     ,Gothic Fiction        ,N                     ,Y                      ,                        ,                     7   ,Paperback Oxford Classic        ,
Stoker           ,Bram                ,      ,Horror Stories                                                              ,Gothic Fiction        ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Strayed          ,Cheryl              ,      ,Wild                                                                        ,Autobiography         ,N                     ,N                      ,                        ,                         ,Paperback 2nd hand              ,
Stuart           ,Douglas             ,      ,Shuggie Bain                                                                ,Fiction               ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Sturluson        ,Snorri              ,      ,Edda                                                                        ,Poetry                ,Y                     ,N                      ,                        ,                         ,Paperback                       ,
Summersdale      ,                    ,      ,Just Be You                                                                 ,Self Help             ,N                     ,N                      ,                        ,                         ,Hardback                        ,
Sunim            ,Haemin              ,      ,The Things You Can See Only When You Slow Down                              ,Self Help             ,P                     ,P                      ,                        ,                         ,Hardback                        ,
Swift            ,Jonathan            ,      ,Gulliver's Travels                                                          ,Satire                ,N                     ,N                      ,                        ,                         ,Hardback Clothbound             ,
